figure_id,original_path,copied_path,category,suggested_ppt_page,title_zh,caption_zh,is_real_experiment,is_schematic,notes
figure_01_environment_overview,outputs/recordings/2_blue_cylinder/frames/frame_0000.png,reports/defense_assets/figures/figure_01_environment_overview.png,environment_setup,03_仿真环境与任务设置,Isaac 桌面多物体抓取场景总览,真实录制帧，展示桌面、机械臂和多物体抓取任务环境。,True,False,copied from existing recording frame
figure_02_data_collection_samples,multiple copied data rgb.png files,reports/defense_assets/figures/figure_02_data_collection_samples.png,data_collection,04_数据采集流程,数据采集样例拼图,真实数据集 RGB 样例拼图，展示不同 episode 的桌面物体组合。,True,False,composed from copied real dataset images
figure_03_qwen_input_instruction,outputs/debug/qwen_vl_real_blue_cylinder_demo_qwen_input.png,reports/defense_assets/figures/figure_03_qwen_input_instruction.png,qwen_vl_grounding,05_Qwen视觉语言理解效果,Qwen2.5-VL 输入示例,真实 Qwen 输入图与中文指令排版，用于展示视觉语言理解输入。,True,False,layout generated from real Qwen input image
figure_04_qwen_grounding_result,outputs/figures/qwen_overlay_integration_smoke_grounding_overlay.png,reports/defense_assets/figures/figure_04_qwen_grounding_result.png,qwen_vl_grounding,06_目标定位与结构化输出,Qwen2.5-VL 目标定位结果,真实 grounding 可视化，展示目标物体 bbox / center point。,True,False,copied existing grounding overlay
figure_05_qwen_json_output,reports/defense_assets/qwen_outputs/qwen_vl_real_blue_cylinder_demo_vla_result.json,reports/defense_assets/figures/figure_05_qwen_json_output.png,qwen_vl_json_output,06_目标定位与结构化输出,Qwen2.5-VL 结构化输出,由真实 Qwen 结果 JSON 渲染，展示目标、属性、位置和抓取提示字段。,True,False,rendered from copied real JSON output
figure_06_grasp_candidates,"qwen input, grounding overlay, candidate score chart",reports/defense_assets/figures/figure_06_grasp_candidates.png,grasp_candidate,07_候选抓取动作生成,候选抓取动作生成,基于真实输入、grounding 和候选评分图组成，说明从视觉理解到候选动作的连接。,True,False,one explanatory tile included; no fabricated experimental result
figure_07_success_case_panel,qwen real blue cylinder frames + grounding overlay,reports/defense_assets/figures/figure_07_success_case_panel.png,qwen_guided_grasp,08_典型抓取成功样例,抓取成功样例面板,真实录制帧展示抓取前、目标定位、执行中和成功结果。,True,False,composed from existing real frames
figure_08_failure_process_placeholder,,reports/defense_assets/figures/figure_08_failure_process_placeholder.png,baseline_failure,09_失败案例与问题分析,失败过程帧占位图,失败过程视频帧当前缺失。该图是 placeholder，不是实验结果。,False,False,"placeholder only, not an experimental result"
figure_08_failure_result_json,data/grasp_success/raw/episode_000073/result.json,reports/defense_assets/figures/figure_08_failure_result_json.png,baseline_failure,09_失败案例与问题分析,失败样例结构化记录,由真实 success=false episode 的 result.json 渲染。,True,False,rendered from real failed episode result
figure_08_failure_case_panel,real failed episode + placeholder + real distribution figure,reports/defense_assets/figures/figure_08_failure_case_panel.png,problem_analysis,09_失败案例与问题分析,失败案例分析面板,包含真实失败 episode 输入与记录；失败过程帧缺失位置已明确标为 placeholder。,False,False,"mixed panel; contains placeholder, not a pure experimental result"
figure_09_pipeline_overview_schematic,,reports/defense_assets/figures/figure_09_pipeline_overview_schematic.png,pipeline_overview,10_阶段性成果总结,系统总流程示意图,中文指令、图像输入、Qwen2.5-VL、目标定位、候选动作、评分和执行记录流程。,False,True,"schematic, not an experimental result"
figure_10_stage_summary_schematic,,reports/defense_assets/figures/figure_10_stage_summary_schematic.png,scoring_model_pending,10_阶段性成果总结,阶段性成果总结示意图,总结已完成模块与后续工作。,False,True,"schematic, not an experimental result"
panel_qwen_effect,,reports/defense_assets/panels/panel_qwen_effect.png,qwen_vl_grounding,05_Qwen视觉语言理解效果,Qwen 效果四宫格,Qwen 效果四宫格,True,False,panel generated from real Qwen artifacts
panel_grasp_success,,reports/defense_assets/panels/panel_grasp_success.png,qwen_vl_grounding,08_典型抓取成功样例,成功样例四宫格,成功样例四宫格,True,False,panel generated from real frames
panel_failure_analysis,,reports/defense_assets/panels/panel_failure_analysis.png,problem_analysis,09_失败案例与问题分析,失败分析四宫格,失败分析四宫格,False,False,mixed panel includes explicit placeholder
panel_data_collection,,reports/defense_assets/panels/panel_data_collection.png,qwen_vl_grounding,04_数据采集流程,数据采集多图网格,数据采集多图网格,True,False,panel generated from real dataset images
panel_system_pipeline,,reports/defense_assets/panels/panel_system_pipeline.png,pipeline_overview,10_阶段性成果总结,系统流程图,系统流程图,False,True,"schematic, not an experimental result"
